,class,tweet
0,0,faggot
1,0,ugly nigger
2,0,police depament that hires gypsies and nigglets should trusted
3,0,look this little faggot tell her she beautiful much you can will make her smile
4,0,queer white thirsty bitch
5,0,send them damn beaners back where they belong the aint
6,0,hate this dyke
7,0,fuck islam you pigfucking trash troll
8,0,fags
9,0,yourself faggot buy dictionary
10,0,come get that chicken niggers love dat chicken from popeyes
11,0,dead when fuckin and her pussy stank but have really good friends
12,0,because you not bend you not buy and you not make into your nigger farrakhan thetime
13,0,das calld usen brain retard would whoop ass front police
14,0,your fucking queer faggot bitch
15,0,old hoes ponk and dyke outchea having girl talk
16,0,pantera minutes alone minutes pussy boy will crush you
17,0,ugly fucking nigger baby thought was gorilla
18,0,not just cause hoes jail cause fucking hoes bloody making them call you head honcho
19,0,light beer you mean faggot piss powered man
20,0,look this coon ass nigga here standing damn toilet looking around for his manhood
21,0,you are ignorant cunt
22,0,people get more and more retarded everyday
23,0,whooooo chelsey fuck her lol she juss bitch
24,0,being nigger not color state mind
25,0,california full white trash who moved from oklahoma
26,0,have repeat myself white trash
27,0,lbum fotos gaywrites the making project and for queer students harvard highlights the
28,0,faggot
29,0,bored supposed cute you faggot sometimes
30,0,bitch dick she come crib she get passed around love
31,0,every spic cop should killed those pigs only got their job even but white people never did anything them
32,0,stoni fuckin queer
33,0,crew neck ass nigguh
34,0,you call someone faggot and then say kill themselves you are pathetic human being fucking disgrace
35,0,only rich white liberals know what best for black people they not see that they are obviously uncle toms
36,0,southcarolina full white trash
37,0,the reason you called jesus monkey because you knew was not your color farrakhanthetime
38,0,fuck mlk why does lexii keep favoriting coon tweets mlk didnt die for this
39,0,need thank killing niggers own dis pal from our graduation when was
40,0,okay closet fag
41,0,they shot another monkey lmaooooooooooo
42,0,bruh can finally roll like rednecks drug dealers
43,0,twice divorced teabagger florida attorney general says marriage reserved for istable enduring family units wtf
44,0,hood niggas and bitches love emojis lmfao
45,0,yea forgot was talkin degenerate faggot
46,0,mom tried get buy beaner boots they were sale like not mariachi band please stop
47,0,hope gezus gets shot his faggot head houston nbombs
48,0,prefer jameis winston not speak all damn coon
49,0,niggers are ignorant
50,0,your pathetic plan failed enjoy phone you fucking monkey let see your ass benton park you wan talk shit will carve your face
51,0,firefighter job for white trash
52,0,goes olive garden turns into cracker goes black friday shopping turns into nigger
53,0,you totally correct anthony can livin round dem colored folk day bringin down hood and dem propery value
54,0,and its people like you that give all bad name you are disgusting piece shit person nigger what you are
55,0,deedee patrick sheen timmy dad beavis butthead peter griffin this just list some mentally retarded caoon characters
56,0,forgot how white trash texarkana was well arkansas
57,0,nig jus said not nuttin worse den fat loud fuckin story
58,0,cant trust niggas when come bitches
59,0,only white trash watch football
60,0,you assholes know that referring girl bitch does not make your dick any bigger right
61,0,niggers
62,0,boring hack allah and mohamed are also against mention them god take away your balls punishment
63,0,waiting this wetback sycksyllables
64,0,you are full these called children are not children they are illegal border jumpers gang members
65,0,you would not know fag
66,0,pennsylvania white trash and are all pennsylvanians
67,0,his big ass smile his eyes chink
68,0,the nig fun watch got admit ebola boy can speak broken spanish too lol
69,0,these young cats being drafted the nba today are walking lotto tickets wait till these niggas find out that pussy come
70,0,worlds biggest faggot lol
71,0,wish faggots like would stop making music rack city was fucking awful get the fuck outta michigan
72,0,god would sell both nuts watch lebron tear his acl right now and watch all those pussies kill themselves
73,0,bitch ass needs boss the fuck
74,0,hate fat bitches
75,0,awk not like your own nephew cousins our race lmao broke ugly bitches fuck them not need them
76,0,minus all the retarded poor bots
77,0,rudy gay faggot for not changing his last name once got money
78,0,someone then white trash cultist
79,0,but you are still faggot
80,0,hit bitch not like you can see the bruises
81,0,tweetlikepontiacholmes the pontiac sprinkler nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga
82,0,you are fucking nigger
83,0,that was faggot rant for the night
84,0,sure would add this helpful parenthetical explanation these were redneck peckerwood teabaggers
85,0,hes just friggin idiot that can say anything and his redneck teabagger constituants buy they love stupid people
