,tweet,class
0,white trash hillbilly,0
1,buildthewall help keepamericagreat,0
2,looking like hillbilly and not matching what best goodnight losers,0
3,slow replies make feel like retard and just want put foot through wall hjhdyhdhlgjdftilh,0
4,china your late cnn already has viual non clueless retarded gay and fake anchors years ago hahahaha,0
5,that nigga did what,0
6,sick backwards religion banislam,0
7,spic spooky pic,0
8,full video busty babe shos angelina valentine spreading her twat and butthole,0
9,the teacher woke what dyke,0
10,especially the people went school with yall got that real redneck racist homophobic school pride,0
11,fuck this faggot,0
12,that because millennials are retarded,0
13,name andrew gillum and promise you when dont get elected will pull the race card,0
14,redneck pickup line,0
15,without doubt there will some twat who will this today stormcallum,0
16,big dyke energy today gay,0
17,youre god cunt not european,0
18,thank you for buying time admit you are faggot mvsales manyvids,0
19,how she threw that faggot,0
20,teachers are retarded fucking dumbass middle school happyhalloween,0
21,shut cunt,0
22,are you talking about this faggot,0
23,your hillbilly followers,0
24,fucking horrible racist cunt,0
25,holy shit this the most full retard thing have ever read,0
26,when see non black people retweeting stuff with the word nigga,0
27,yeah right perfect twat,0
28,that nigga intervention blacksonblondes dogfanetwork,0
29,joey baon still cunt pass,0
30,what twat your mates,0
31,saying the word faggot,0
32,right about now every cringey sjw snowflake viuoso,0
33,harris teeter and the nigger jumped out,0
34,keep nigga bussin like draco still going bad you stank hos,0
35,you are the reason mentally retarded liberals almost permanently destroyed our country,0
36,apaheid pedestrian check show your freedom papers you,0
37,not fast faggot,0
38,listening this faggot,0
39,rub the clit you twat,0
40,raped animal death you fucking retarded shit whistle,0
41,people who enjoy shows like and are douche bags usually white trash too,0
42,just called her dick dyke yesterday and she announces her pregnancy with her man today intuition,0
43,pigeon chest says all man and grow pair you spineless twat,0
44,jordan disappoint another nigga christopher elijah mohammed,0
45,lets help eachother grow you down got you nigger,0
46,friends are retarded,0
47,when see the faggot that convinced brit not release mood ring,0
48,this faggot bitch puts his tongue other men butts,0
49,fag,0
50,retard blocked,0
51,just sold clip beta bottom faggot hypnotherapy faggot get yours iwantclips,0
52,fuck off you stupid turkey cunt,0
53,nigga talmbout wan mcdonalds,0
54,the nigger jumping back out,0
55,real ass bitch give fuck bout nigga,0
56,also cut the sleeves off this shi for extra dyke points,0
57,why does look like hed call faggot then hit later when hes drunk,0
58,lucky faggot,0
59,you dumb nigger bitch,0
60,resolution demands critics lgbt and islam prosecuted bansharia stopislam,0
61,mrs redneck dixon out last night for halloween,0
62,can slander paul pierce today please its halloween related and this nigga weird,0
63,god what twat,0
64,when the cunt acted like shes some kinda diamanda galas,0
65,you know nigger lover,0
66,who the fuck this cunt,0
67,reboot haters this show sjw its trying hard push the feminist agenda down our throats charmed,0
68,interesting that you wan switch nigga now,0
69,when hear someone call faggot from across the street assassinationnation gifcontest,0
70,why are bitches telling look like while ass dyke today been knowing that sis,0
71,the reason why the word faggot most used word everyone know faggot,0
72,you define white trash,0
73,that nigga would buy the world let,0
74,got attitude make nigga lick off,0
75,redneck there fixed,0
76,too many faggots here that think they can address first name,0
77,was inferring twat,0
78,korea have question what the fuck this faggot wearing,0
79,and the little twat always end saying your name,0
80,you all still pushing the race card,0
81,nigger,0
82,does vast majority the coonass culture,0
83,nigga,0
84,fucking got you faggot,0
85,this image may seem ableist but actually retarded,0
86,gon fuck your fucking fanny off you twat,0
87,anyone getting some retarded going ceainly have,0
88,not come monday you retard,0
89,looks around class why the fuck does everyone look retarded checks calander,0
90,luffy the dumbest nigga the world but his speeches hitting,0
91,know not the only dyke,0
92,some cunt bike has just pushed past set lights done that wheel and fucked off,0
93,promised little taste being retard for you guys,0
94,that moment when you realise you have nigger hands nigger hands nigger hands,0
95,faggot always feels inferior around real man,0
96,forgot you already posted this mentally incompetent twat,0
97,need nigga who gone swipe them visas,0
98,good enough fag,0
99,thought you would like that diy twat,0
100,not fuck scary hoe,0
101,white trash weeb,0
102,faggot search underway analyzing gaydar data faggot detected,0
